="",="survival_delta",="",=""
="",="One-Time Entry",="One-Time Entry No Permanent",="Re-Entry"
="r1",=".9094088",=".8828753",=".8167507"
="r2",=".9058601",=".8746292",=".8511574"
="r3",=".8902588",=".8486336",=".8704575"
="r4",=".8977288",=".8520179",=".8809608"
="r5",=".8902305",=".8326468",=".8937016"
